Sr. No.,Model,Year,Current year,Selling Price,Age of Vehicle,Car Condition,Kilometers Driven, Current Price ,Owner,Fuel Type,Transmission,Insurance,Current Price (Unformatted),Price Formatting
1052,RenaultKwidCLIMBER1.0,2018,2021,445599,3,4.4,32733,531000,First Owner,Petrol,Manual,Comp,Rs.5.31 Lakh,5.31
1053,VolkswagenVentoHIGHLINE,2013,2021,384899,8,4.4,34436,1209000,Second Owner,Petrol,Manual,25-11-2021,12.09 Lakh,12.09
1054,HondaBrio1.2VXMTI,2014,2021,361699,7,4,70915,575000,First Owner,Petrol,Manual,4/8/2021,Rs.5.75 Lakh,5.75
1055,MarutiSwiftZDI,2018,2021,571899,3,4.5,84237,549000,First Owner,Diesel,Automatic,2/3/2021,"Rs.5,49,000",549000
1056,MarutiWagonR1.0LXI,2016,2021,345799,5,4.3,56771,465000,First Owner,Petrol + CNG,Manual,Expired,Rs.4.65 Lakh,4.65
1057,MarutiAlto800LXI,2016,2021,309934,5,4.5,34760,363000,Second Owner,Petrol + CNG,Manual,13-08-2021,Rs.3.63 Lakh,3.63
1058,MarutiWagonR1.0LXI,2016,2021,361899,5,4.4,65990,465000,Second Owner,Petrol + CNG,Manual,11/6/2021,Rs.4.65 Lakh,4.65
1059,FordEcosport1.5TITANIUMTDCI,2013,2021,369299,8,3.9,132779,999900,First Owner,Diesel,Manual,7/11/2020,"Rs.9,99,900",999900
1060,MarutiCiazDELTA1.3DDIS,2018,2021,844499,3,4.9,7712,981000,First Owner,Diesel,Manual,18-03-2022,Rs.9.81 Lakh,9.81
1061,HyundaiGrandi10SPORTZ1.1,2015,2021,425799,6,3.8,70775,637000,First Owner,Diesel,Manual,15-07-2021,Rs.6.37 Lakh,6.37
1062,MarutiAltoK10,2018,2021,382399,3,4.5,30028,400000,First Owner,Petrol,Manual,2/5/2021,Rs.4 Lakh,4
1063,MarutiBalenoDELTA1.2,2016,2021,549299,5,4.8,16906,590000,First Owner,Petrol,Manual,9/2/2021,"Rs.5,90,000",590000
1064,MarutiCiazVDI+,2017,2021,723499,4,4.8,58511,990000,First Owner,Diesel,Manual,7/2/2021,Rs.9.90 Lakh,9.9
1065,MahindraXUV500W6,2013,2021,453999,8,4.4,99893,1363000,First Owner,Diesel,Manual,2/2/2021,Rs.13.63 Lakh,13.63
1066,HyundaiGrandi10Magna1.2AT,2018,2021,493965,3,4.8,12681,605000,First Owner,Petrol,Automatic,14-11-2021,Rs.6.05 Lakh,6.05
1067,MarutiZenEstilo,2010,2021,182299,11,4.3,32985,395000,First Owner,Petrol,Manual,19-10-2021,Rs.3.95 Lakh,3.95
1068,Hyundaii10SPORTZ1.2,2012,2021,305899,9,4.1,59218,599000,First Owner,Petrol,Manual,Expired,Rs.5.99 Lakh,5.99
1069,ToyotaEtiosLivaD4D,2014,2021,323599,7,4.4,176674,650000,Second Owner,Diesel,Manual,17-01-2021,Rs.6.50 Lakh,6.5
1070,MarutiCelerioZXI,2014,2021,352399,7,4.6,37296,558000,First Owner,Petrol,Manual,5/9/2021,Rs.5.58 Lakh,5.58
1071,Hyundaii20ASTA1.4,2012,2021,336299,9,4.2,86415,900000,First Owner,Diesel,Manual,6/7/2021,Rs.9 Lakh,9
1072,MarutiSwift,2015,2021,391599,6,4.3,65847,549000,First Owner,Petrol,Manual,Expired,Rs.5.49 Lakh,5.49
1073,VolkswagenPoloHIGHLINE1.5L,2015,2021,496799,6,4.2,66126,867000,First Owner,Diesel,Manual,21-06-2021,0,0
1074,MarutiAlto,2011,2021,175999,10,4.2,34429,375000,First Owner,Petrol,Manual,22-10-2021,Rs.3.75 Lakh,3.75
1075,MarutiAltoK10,2014,2021,330999,7,4.9,22610,400000,First Owner,Petrol,Manual,15-01-2021,Rs.4 Lakh,4
1076,MarutiVitaraBrezzaZDI,2018,2021,790899,3,4.9,22620,892242,First Owner,Diesel,Automatic,31-07-2021,"Rs.8,92,242",892242
1077,MarutiSwiftDzireVDI,2015,2021,561899,6,4.3,59916,757622,First Owner,Diesel,Manual,Comp,"Rs.7,57,622",757622
1078,VolkswagenPoloTrendline1.0L,2020,2021,639999,1,4.9,2012,601000,First Owner,Petrol,Manual,Zero_Dep,Rs.6.01 Lakh,6.01
1079,HyundaiNEWSANTRO1.1MAGNACNG,2018,2021,486580,3,4.1,27743,586000,First Owner,Petrol + CNG,Manual,Zero_Dep,Rs.5.86 Lakh,5.86
1080,MahindraXUV500W6,2014,2021,575599,7,4,141528,1363000,Second Owner,Diesel,Manual,Expired,Rs.13.63 Lakh,13.63
1081,MarutiSwiftLXI,2007,2021,149899,14,4.1,48448,549000,Second Owner,Petrol,Manual,16-01-2021,Rs.5.49 Lakh,5.49
1082,HyundaiGrandi10SPORTZ1.2KAPPA,2013,2021,327699,8,4.3,53642,591699,First Owner,Petrol,Manual,Expired,"Rs.591,699","591,699"
1083,SkodaSuperbELEGANCE1.8TSI,2012,2021,351799,9,3.9,76434,2233000,Second Owner,Petrol,Manual,Expired,0,0
1084,HondaCityVMT,2015,2021,720399,6,4.6,38614,1110000,First Owner,Petrol,Manual,4/7/2021,Rs.11.10 Lakh,11.1
1085,VolkswagenPoloTrendline1.0L,2018,2021,620999,3,4.9,1889,601000,First Owner,Petrol,Manual,Third_party,Rs.6.01 Lakh,6.01
1086,MarutiSwiftVDI,2015,2021,451799,6,4.3,119742,698000,Second Owner,Diesel,Manual,30-03-2021,Rs.6.98 Lakh,6.98
1087,Hyundaii10MAGNA1.2,2010,2021,281599,11,4.2,28790,461681,First Owner,Petrol,Manual,5/5/2021,"Rs.4,61,681",461681
1088,HyundaiEonMAGNA,2013,2021,249899,8,3.9,25276,416000,Second Owner,Petrol,Manual,Expired,Rs.4.16 Lakh,4.16
1089,MarutiAltoK10,2016,2021,292199,5,4.5,18998,400000,Second Owner,Petrol,Manual,26-02-2021,Rs.4 Lakh,4
1090,MahindraTUV300,2017,2021,762399,4,4.5,32394,1080000,First Owner,Diesel,Manual,19-02-2021,Rs.10.80 Lakh,10.8
1091,HyundaiGrandi10MAGNA1.2KAPPA,2015,2021,377899,6,4.3,91814,500000,First Owner,Petrol,Manual,5/1/2021,Rs.5 Lakh,5
1092,MarutiEeco5STRWITHAC,2018,2021,388799,3,4.1,111610,438000,First Owner,Petrol + CNG,Manual,24-09-2021,Rs.4.38 Lakh,4.38
1093,MarutiWagonR1.0,2013,2021,317299,8,4.2,115055,498000,Second Owner,Petrol,Manual,10/10/2021,Rs.4.98 Lakh,4.98
1094,MarutiEeco7,2013,2021,274500,8,4.2,28559,426000,First Owner,Petrol,Manual,Insurance Expired,Rs.4.26 Lakh,4.26
1095,MarutiWagonR1.0,2013,2021,338599,8,4.4,59887,498000,First Owner,Petrol,Manual,18-11-2020,Rs.4.98 Lakh,4.98
1096,ToyotaEtiosGD,2013,2021,328799,8,4.4,82778,775000,First Owner,Diesel,Manual,8/5/2021,Rs.7.75 Lakh,7.75
1097,MarutiSwift,2012,2021,318299,9,4.2,136700,549000,First Owner,Diesel,Manual,15-01-2021,Rs.5.49 Lakh,5.49
1098,HondaBR-V1.5i-VTEC,2017,2021,710799,4,4.4,21706,1285900,First Owner,Petrol,Manual,4/12/2020,"Rs.12,85,900",1285900
1099,MarutiAlto800LXI,2017,2021,358399,4,4.7,81291,363000,First Owner,Petrol + CNG,Manual,26-07-2021,Rs.3.63 Lakh,3.63
1100,MarutiSwiftDzire,2012,2021,492799,9,4.2,66761,561000,Second Owner,Diesel,Manual,25-10-2021,Rs.5.61 Lakh,5.61
1101,MarutiSwiftDzire,2013,2021,342299,8,4.4,56620,561000,First Owner,Diesel,Manual,6/1/2022,Rs.5.61 Lakh,5.61
1102,MarutiDzire,2017,2021,655442,4,4.9,9562,750000,Second Owner,Petrol,Manual,20-11-2021,Rs.7.50 Lakh,7.5
1103,HyundaiGrandi10SPORTS1.2,2016,2021,454799,5,4.7,46242,638000,First Owner,Petrol,Manual,3/2/2022,Rs.6.38 Lakh,6.38
1104,RenaultKwid,2017,2021,275399,4,4.9,8656,312000,First Owner,Petrol,Manual,Expired,Rs.3.12 Lakh,3.12
1105,RenaultKwidRXT,2019,2021,425699,2,4.9,7343,442000,First Owner,Petrol,Manual,23-10-2021,Rs.4.42 Lakh,4.42
1106,Hyundaii10MAGNA1.2,2012,2021,279399,9,4,63995,461681,First Owner,Petrol,Manual,21-12-2021,"Rs.4,61,681",461681
1107,Hyundaii20SPORTZ1.2,2013,2021,341199,8,4.3,47294,859000,Second Owner,Petrol,Manual,18-04-2021,Rs.8.59 Lakh,8.59
1108,Hyundaii20MAGNA1.2,2009,2021,179499,12,4.1,78770,900000,First Owner,Petrol,Manual,8/8/2021,Rs.9 Lakh,9
1109,MarutiCiazZDISHVS,2016,2021,577399,5,4.6,62539,976000,First Owner,Diesel,Manual,Zero_Dep,Rs.9.76 Lakh,9.76
1110,Hyundaii10SPORTZ1.2AT,2012,2021,283599,9,4.3,47790,637000,Third Owner,Petrol,Automatic,Expired,Rs.6.37 Lakh,6.37
1111,MarutiAlto,2012,2021,170599,9,4.3,32234,375000,First Owner,Petrol,Manual,13-03-2021,Rs.3.75 Lakh,3.75
1112,HyundaiGrandi10SPORTZ(O)1.2AT,2017,2021,463899,4,4.2,27147,591699,Second Owner,Petrol,Automatic,,"Rs.591,699","591,699"
1113,MarutiAlto800,2013,2021,224899,8,4.6,25478,448000,First Owner,Petrol,Manual,3/11/2021,Rs.4.48 Lakh,4.48
1114,HondaMobilio1.5VI,2014,2021,447399,7,4.2,88157,1062500,Second Owner,Petrol,Manual,Expired,"Rs.10,62,500",1062500
1115,ToyotaFortuner3.0MT,2011,2021,814299,10,4.1,83299,3139000,Second Owner,Diesel,Manual,31-08-2021,Rs.31.39 Lakh,31.39
1116,ToyotaCorollaAltis1.8,2009,2021,271599,12,4.4,63836,1704000,Second Owner,Petrol,Manual,Comp,Rs.17.04 Lakh,17.04
1117,MarutiRitzVXIBS,2014,2021,456999,7,4.2,52410,513902,First Owner,Petrol,Manual,11/10/2021,"Rs.5,13,902",513902
1118,MarutiWagonR1.0,2014,2021,290699,7,4.5,43966,498000,Second Owner,Petrol,Manual,Comp,Rs.4.98 Lakh,4.98
1119,MarutiAlto800,2012,2021,221399,9,4.1,30506,448000,First Owner,Petrol,Manual,2/1/2022,Rs.4.48 Lakh,4.48
1120,HondaBrio1.2SMTI,2014,2021,320912,7,4.3,84765,523000,First Owner,Petrol,Manual,14-07-2021,Rs.5.23 Lakh,5.23
1121,MarutiAlto800,2015,2021,279499,6,4.6,48279,448000,First Owner,Petrol,Manual,30-11-2021,Rs.4.48 Lakh,4.48
1122,Hyundaii20SPORTZO1.4,2011,2021,282199,10,4.1,93484,759000,First Owner,Diesel,Manual,17-06-2021,Rs.7.59 Lakh,7.59
1123,MahindraXUV500W8,2013,2021,462542,8,3.9,100097,1550000,Third Owner,Diesel,Manual,11/8/2021,Rs.15.50 Lakh,15.5
1124,MarutiAlto,2010,2021,229799,11,4.3,28345,375000,First Owner,Petrol,Manual,4/8/2021,Rs.3.75 Lakh,3.75
1125,HondaJazz1.2V,2016,2021,435399,5,4.5,84427,735000,First Owner,Petrol,Manual,6/4/2021,"Rs.7,35,000",735000
1126,MarutiSwift,2015,2021,477399,6,4.7,22607,549000,First Owner,Petrol,Manual,14-12-2021,Rs.5.49 Lakh,5.49
1127,MarutiSX4,2011,2021,323699,10,4.1,96436,825000,First Owner,Diesel,Manual,14-04-2021,Rs.8.25 Lakh,8.25
1128,MarutiSwiftDzire,2008,2021,168099,13,4,63396,561000,First Owner,Petrol,Manual,27-07-2021,Rs.5.61 Lakh,5.61
1129,HondaAmaze1.5SMTI,2013,2021,321799,8,4.4,80701,826000,First Owner,Diesel,Manual,16-01-2021,Rs.8.26 Lakh,8.26
1130,MarutiRitz,2011,2021,195899,10,3.8,168605,545000,First Owner,Diesel,Manual,10/3/2021,Rs.5.45 Lakh,5.45
1131,Hyundaii10ERA1.1,2012,2021,327499,9,4.4,23707,445000,First Owner,Petrol,Manual,Expired,4.45 Lakh,4.45
1132,MarutiBalenoDELTA1.2,2017,2021,565599,4,4.6,15272,590000,First Owner,Petrol,Manual,20-04-2021,"Rs.5,90,000",590000
1133,MarutiRitz,2011,2021,200299,10,4.2,56902,545000,Second Owner,Diesel,Manual,Expired,Rs.5.45 Lakh,5.45
1134,MarutiSwiftVDI,2017,2021,564399,4,4.1,45203,698000,First Owner,Diesel,Manual,Expired,Rs.6.98 Lakh,6.98
1135,RenaultKwid1.0,2017,2021,315799,4,4.7,32036,442000,First Owner,Petrol,Manual,28-11-2021,Rs.4.42 Lakh,4.42
1136,MarutiSwiftDzireVDIBS,2015,2021,392199,6,4.5,126440,561000,First Owner,Diesel,Manual,13-09-2021,Rs.5.61 Lakh,5.61
1137,RenaultKwid,2016,2021,174461,5,4.2,90197,312000,Second Owner,Petrol + CNG,Manual,26-06-2021,Rs.3.12 Lakh,3.12
1138,MarutiWagonR1.0,2010,2021,198399,11,4.5,80357,498000,First Owner,Petrol,Manual,9/10/2021,Rs.4.98 Lakh,4.98
1139,ToyotaInnova2.5GX7STRBS,2013,2021,652519,8,4.5,69047,1345894,First Owner,Diesel,Manual,18-11-2021,"Rs.13,45,894",1345894
1140,HyundaiEonDLITE,2014,2021,189799,7,4,40570,334900,First Owner,Petrol,Manual,17-05-2021,"Rs.3,34,900",334900
1141,MarutiRitz,2011,2021,225120,10,4.2,91250,545000,Second Owner,Diesel,Manual,2/12/2021,Rs.5.45 Lakh,5.45
1142,MahindraXUV500W6,2014,2021,517199,7,4.2,57525,1363000,First Owner,Diesel,Manual,18-05-2021,Rs.13.63 Lakh,13.63
1143,MarutiErtiga,2013,2021,468380,8,4.2,135793,769000,First Owner,Diesel,Manual,28-11-2021,Rs.7.69 Lakh,7.69
1144,MarutiAlto800,2018,2021,297999,3,4.4,60362,448000,Second Owner,Petrol,Manual,22-07-2021,Rs.4.48 Lakh,4.48
1145,MarutiSwift,2014,2021,383399,7,4.8,83580,549000,First Owner,Diesel,Manual,6/8/2021,Rs.5.49 Lakh,5.49
1146,HyundaiVernaFLUIDIC1.6SX,2013,2021,397099,8,4.1,61895,1173000,First Owner,Diesel,Manual,24-10-2021,11.73 Lakh,11.73
1147,HyundaiGrandi10Sportz1.2,2017,2021,412999,4,4.8,38023,625000,First Owner,Diesel,Manual,30-12-2020,Rs.6.25 Lakh,6.25
1148,MGHECTORSHARPDCT,2019,2021,1708199,2,4.9,10104,1755800,First Owner,Petrol,Automatic,Third_party,"Rs.17,55,800",1755800
1149,MarutiSwiftDzireVXI1.2BS,2013,2021,403999,8,4.5,63385,657000,First Owner,Petrol,Manual,3/2/2021,Rs.6.57 Lakh,6.57
1150,MarutiBalenoDELTA1.2,2016,2021,550399,5,4.4,33603,590000,First Owner,Petrol,Manual,27-09-2021,"Rs.5,90,000",590000
1151,Hyundaii10MAGNA1.2,2011,2021,254699,10,4.2,33734,461681,Second Owner,Petrol,Manual,13-12-2021,"Rs.4,61,681",461681
1152,HyundaiSantroXing,2008,2021,182811,13,4,40542,400374,Third Owner,Petrol,Manual,7/10/2021,"Rs.4,00,374",400374
1153,Hyundaii10MAGNA,2010,2021,202499,11,4.6,36942,462100,Second Owner,Petrol,Manual,27-04-2021,"Rs.4,62,100",462100
1154,HyundaiVernaFLUIDIC1.6SX,2013,2021,476499,8,4.2,115055,1173000,First Owner,Diesel,Manual,17-11-2021,11.73 Lakh,11.73
1155,MarutiSX4,2011,2021,186699,10,4.2,155467,825000,First Owner,Diesel,Manual,30-06-2021,Rs.8.25 Lakh,8.25
1156,ToyotaEtios,2012,2021,331599,9,4,121820,785000,First Owner,Diesel,Manual,Expired,Rs.7.85 Lakh,7.85
1157,RenaultKwidRXT,2015,2021,264899,6,4.1,23757,442000,First Owner,Petrol,Manual,22-11-2021,Rs.4.42 Lakh,4.42
1158,HondaCityVMT,2012,2021,483999,9,4.2,45103,1110000,Second Owner,Petrol,Manual,26-04-2021,Rs.11.10 Lakh,11.1
1159,HondaBrio1.2VXMTI,2014,2021,394899,7,4.2,1774,575000,First Owner,Petrol,Manual,25-09-2021,Rs.5.75 Lakh,5.75
1160,MarutiSwiftVDI,2015,2021,442799,6,4.3,52490,698000,First Owner,Diesel,Manual,21-05-2021,Rs.6.98 Lakh,6.98
1161,Hyundaii20MAGNAO,2012,2021,303999,9,4.3,50918,679000,First Owner,Petrol,Manual,22-01-2021,Rs.6.79 Lakh,6.79
1162,FordFigo1.4EXI,2012,2021,292699,9,4.1,66600,683000,Second Owner,Diesel,Manual,10/7/2021,6.83 Lakh,6.83
1163,Hyundaii10ERA1.1,2010,2021,277399,11,4,65231,445000,Second Owner,Petrol,Manual,15-08-2021,4.45 Lakh,4.45
1164,MarutiCiazALPHA1.3DDIS,2017,2021,696899,4,4.2,83592,1013000,First Owner,Diesel,Manual,26-07-2021,Rs.10.13 Lakh,10.13
1165,Hyundaii20MAGNA1.2,2010,2021,245199,11,4.3,34599,900000,First Owner,Petrol,Manual,26-02-2021,Rs.9 Lakh,9
1166,HondaBrio1.2SMTI,2014,2021,289699,7,4.6,32152,523000,Second Owner,Petrol,Manual,3/3/2021,Rs.5.23 Lakh,5.23
1167,HondaCityVMT,2012,2021,369700,9,4.2,138073,1110000,First Owner,Petrol,Manual,21-03-2021,Rs.11.10 Lakh,11.1
1168,MarutiSwiftDzire,2013,2021,368595,8,4.7,106300,561000,First Owner,Diesel,Manual,21-07-2021,Rs.5.61 Lakh,5.61
1169,MahindraXUV500W8,2015,2021,795699,6,4.4,42214,1550000,First Owner,Diesel,Manual,12/7/2021,Rs.15.50 Lakh,15.5
1170,MarutiSwiftDzire,2010,2021,222799,11,4.3,55169,561000,First Owner,Petrol,Manual,7/10/2021,Rs.5.61 Lakh,5.61
1171,ToyotaCorollaH21.8,2008,2021,118999,13,3.9,131267,1113000,Third Owner,Petrol,Manual,26-06-2021,Rs.11.13 Lakh,11.13
1172,HyundaiSantroXingGL,2014,2021,286533,7,4.5,77358,369000,First Owner,Petrol + CNG,Manual,26-06-2021,Rs.3.69 Lakh,3.69
1173,MarutiAltoK10,2012,2021,263625,9,4.4,67346,400000,First Owner,Petrol,Manual,24-09-2021,Rs.4 Lakh,4
1174,MarutiCelerioVXI,2014,2021,407092,7,4.9,17382,492000,First Owner,Petrol,Automatic,28-09-2021,Rs.4.92 Lakh,4.92
1175,Hyundaii20ASTA,2012,2021,343399,9,4.3,24598,869000,First Owner,Petrol,Manual,22-02-2021,Rs.8.69 Lakh,8.69
1176,Hyundaii10MAGNA1.2,2013,2021,387599,8,4.5,63082,461681,First Owner,Petrol,Manual,3/10/2021,"Rs.4,61,681",461681
1177,FordFigo1.2ZXI,2010,2021,148899,11,4.4,44624,685000,First Owner,Petrol,Manual,21-10-2021,Rs.6.85 Lakh,6.85
1178,MarutiAlto800,2013,2021,242899,8,4.3,36483,448000,First Owner,Petrol,Manual,5/2/2021,Rs.4.48 Lakh,4.48
1179,HyundaiVernaFLUIDIC1.6SX,2013,2021,537599,8,4.2,54675,1173000,Second Owner,Petrol,Manual,16-06-2021,11.73 Lakh,11.73
1180,Hyundaii10SPORTZ1.1,2014,2021,297699,7,4.1,36271,487925,First Owner,Petrol + CNG,Manual,21-12-2020,"Rs.4,87,925",487925
1181,HondaCityVMT,2017,2021,705899,4,4.7,58561,1110000,Second Owner,Petrol,Manual,Zero_Dep,Rs.11.10 Lakh,11.1
1182,MarutiAlto800,2013,2021,213426,8,4.5,65775,448000,Second Owner,Petrol,Manual,27-06-2021,Rs.4.48 Lakh,4.48
1183,MarutiSwift,2010,2021,200899,11,4.1,121591,549000,First Owner,Petrol,Manual,23-03-2021,Rs.5.49 Lakh,5.49
1184,MarutiAlto,2008,2021,170036,13,3.9,84335,375000,First Owner,Petrol,Manual,18-01-2022,Rs.3.75 Lakh,3.75
1185,MarutiSwiftDzireVXI1.2BS,2012,2021,379699,9,4.2,46846,657000,First Owner,Petrol,Manual,28-03-2021,Rs.6.57 Lakh,6.57
1186,Hyundaii10ERA1.1,2012,2021,339199,9,3.8,22030,445000,First Owner,Petrol,Manual,27-06-2021,4.45 Lakh,4.45
1187,MahindraScorpio,2020,2021,1563499,1,4.9,6184,1198000,First Owner,Diesel,Manual,19-03-2021,Rs.11.98 Lakh,11.98
1188,HondaBrio1.2SMTI,2012,2021,299999,9,4.3,52789,523000,First Owner,Petrol,Manual,19-06-2021,Rs.5.23 Lakh,5.23
1189,MarutiWagonR1.0,2012,2021,219599,9,4.3,65475,498000,First Owner,Petrol,Manual,27-08-2021,Rs.4.98 Lakh,4.98
1190,Hyundaii20MAGNAO,2011,2021,293699,10,4.3,84927,679000,First Owner,Petrol,Manual,27-02-2021,Rs.6.79 Lakh,6.79
1191,HondaBrio1.2SMTI,2012,2021,279899,9,4.1,55782,523000,Second Owner,Petrol,Manual,26-05-2021,Rs.5.23 Lakh,5.23
1192,MarutiNewWagon-R1.0LXI,2019,2021,482199,2,4.9,4681,553000,First Owner,Petrol,Manual,Third_party,Rs.5.53 Lakh,5.53
1193,MarutiSX4,2012,2021,207199,9,4.1,121434,825000,First Owner,Diesel,Manual,14-03-2021,Rs.8.25 Lakh,8.25
1194,VolkswagenVentoHIGHLINETDI,2015,2021,577499,6,4.2,78609,1272000,First Owner,Diesel,Automatic,3/12/2021,Rs.12.72 Lakh,12.72
1195,MarutiAltoK10,2017,2021,395399,4,4.6,28261,400000,First Owner,Petrol,Manual,29-06-2021,Rs.4 Lakh,4
1196,Hyundaii10ASTA1.2,2013,2021,308899,8,4.4,75789,599000,Second Owner,Petrol,Manual,5/9/2021,Rs.5.99 Lakh,5.99
1197,MarutiSwift,2013,2021,383299,8,4.5,49117,549000,First Owner,Diesel,Manual,30-10-2021,Rs.5.49 Lakh,5.49
1198,FordFigo1.2ZXI,2013,2021,224999,8,4.2,92076,685000,First Owner,Petrol,Manual,2/6/2021,Rs.6.85 Lakh,6.85
1199,MarutiBalenoDELTA1.2,2018,2021,557499,3,4.6,22676,590000,First Owner,Petrol,Manual,23-01-2021,"Rs.5,90,000",590000
1200,MarutiSwift,2013,2021,420099,8,4.3,64839,549000,Second Owner,Diesel,Manual,13-08-2021,Rs.5.49 Lakh,5.49
1201,VolkswagenVentoHIGHLINETDI,2015,2021,613299,6,4.5,65828,1272000,First Owner,Diesel,Automatic,7/8/2021,Rs.12.72 Lakh,12.72
1202,FordEcosport1.5TITANIUM,2014,2021,534199,7,4.2,80990,999000,Second Owner,Diesel,Manual,28-06-2021,Rs.9.99 Lakh,9.99
1203,MarutiZenEstilo,2009,2021,201799,12,4.4,54603,395000,First Owner,Petrol,Manual,25-10-2021,Rs.3.95 Lakh,3.95
1204,HondaAmaze1.5SXMTI,2014,2021,286499,7,4.2,75678,826000,Second Owner,Diesel,Manual,26-09-2021,Rs.8.26 Lakh,8.26
1205,MahindraXUV3OO,2019,2021,1074299,2,4.8,17468,1020000,First Owner,Diesel,Automatic,Zero_Dep,Rs.10.20 Lakh,10.2
1206,MahindraXUV500W6,2013,2021,605899,8,4.5,98755,1363000,First Owner,Diesel,Manual,13-02-2021,Rs.13.63 Lakh,13.63
1207,HondaCityVXMT,2017,2021,827599,4,4.9,17206,1235000,First Owner,Petrol,Manual,30-03-2021,Rs.12.35 Lakh,12.35
1208,MarutiSwiftDzire,2013,2021,486699,8,4.4,69157,561000,First Owner,Diesel,Manual,25-02-2021,Rs.5.61 Lakh,5.61
1209,MarutiWagonR1.0LXI,2013,2021,286999,8,4,227458,465000,First Owner,Petrol + CNG,Manual,27-09-2021,Rs.4.65 Lakh,4.65
1210,RenaultKwidRXT1.0EASY-R,2016,2021,308899,5,4.5,39822,536000,First Owner,Petrol,Automatic,Zero_Dep,Rs.5.36 Lakh,5.36
1211,MarutiWagonR1.0,2014,2021,408299,7,4.1,43955,498000,First Owner,Petrol,Manual,Expired,Rs.4.98 Lakh,4.98
1212,Hyundaii20MAGNA1.4,2013,2021,399499,8,4.5,81344,900000,Second Owner,Diesel,Manual,Comp,Rs.9 Lakh,9
1213,MarutiRitz,2013,2021,303399,8,4.5,36162,545000,First Owner,Diesel,Manual,30-10-2021,Rs.5.45 Lakh,5.45
1214,MarutiRitzVXIBS,2011,2021,182037,10,4.3,67572,513902,First Owner,Petrol,Manual,10/2/2021,"Rs.5,13,902",513902
1215,MarutiRitz,2012,2021,362699,9,4.1,95739,545000,First Owner,Diesel,Manual,7/3/2021,Rs.5.45 Lakh,5.45
1216,HondaCitySMT,2008,2021,183799,13,4.1,176404,1099000,First Owner,Petrol,Manual,29-11-2020,Rs.10.99 Lakh,10.99
1217,HondaCity1.5EMT,2009,2021,342999,12,4.2,97649,1300000,First Owner,Petrol,Manual,Expired,Rs.13 Lakh,13
1218,MarutiSwift,2012,2021,294399,9,4.2,113003,549000,First Owner,Diesel,Manual,25-05-2021,Rs.5.49 Lakh,5.49
1219,HondaCityVXMT,2016,2021,728599,5,4.6,26809,1235000,First Owner,Petrol,Manual,21-06-2021,Rs.12.35 Lakh,12.35
1220,MarutiRitzVXIBS,2011,2021,339499,10,4.4,50103,513902,First Owner,Petrol,Manual,Expired,"Rs.5,13,902",513902
1221,MahindraBoleroPower+,2017,2021,733899,4,4.7,56815,833000,First Owner,Diesel,Manual,21-04-2021,Rs.8.33 Lakh,8.33
1222,HondaBrio1.2VMTI,2013,2021,311999,8,4.4,57282,575000,First Owner,Petrol,Manual,22-08-2021,Rs.5.75 Lakh,5.75
1223,VolkswagenVentoHIGHLINETDI,2017,2021,867599,4,4.8,34969,1272000,Second Owner,Diesel,Automatic,7/11/2021,Rs.12.72 Lakh,12.72
1224,ToyotaEtiosLiva,2014,2021,326899,7,4.4,116324,568000,First Owner,Diesel,Manual,5/9/2020,Rs.5.68 Lakh,5.68
1225,NissanSunnyXV,2012,2021,177099,9,4.2,131320,993997,First Owner,Diesel,Manual,16-01-2021,"Rs.9,93,997",993997
1226,MarutiSwiftLDIBS,2012,2021,315299,9,4.3,39099,549000,First Owner,Diesel,Manual,11/12/2021,Rs.5.49 Lakh,5.49
1227,Hyundaii10SPORTZ1.2,2010,2021,345799,11,4.5,37127,599000,First Owner,Petrol,Manual,2/1/2021,Rs.5.99 Lakh,5.99
1228,Hyundaii10MAGNA1.2,2011,2021,211699,10,4.2,89090,461681,First Owner,Petrol,Manual,10/3/2021,"Rs.4,61,681",461681
1229,RenaultDusterRXZ110,2019,2021,819999,2,4.5,67447,1017000,First Owner,Diesel,Manual,21-04-2021,Rs.10.17 Lakh,10.17
1230,Hyundaii10MAGNA,2010,2021,201699,11,4.3,39351,462100,Second Owner,Petrol,Manual,30-08-2021,"Rs.4,62,100",462100
1231,HondaCityVMT,2014,2021,683899,7,4.4,32790,1110000,First Owner,Petrol,Manual,20-03-2021,Rs.11.10 Lakh,11.1
1232,MarutiSwiftDzireVDIBS,2012,2021,321199,9,4.3,81509,561000,First Owner,Diesel,Manual,17-03-2021,Rs.5.61 Lakh,5.61
1233,FordEcosport1.5TITANIUMPLUSTIVCT,2019,2021,994599,2,4.9,7407,1120000,Second Owner,Petrol,Automatic,Comp,Rs.11.20 Lakh,11.2
1234,RenaultKwidCLIMBER1.0,2017,2021,474299,4,4.9,8709,531000,First Owner,Petrol,Manual,Comp,Rs.5.31 Lakh,5.31
1235,MarutiCelerio,2017,2021,356199,4,4.6,18805,453000,First Owner,Petrol,Manual,Expired,Rs.4.53 Lakh,4.53
1236,MarutiAlto,2009,2021,118499,12,3.8,127175,375000,Second Owner,Petrol + CNG,Manual,13-10-2021,Rs.3.75 Lakh,3.75
1237,ToyotaEtiosLiva,2012,2021,263599,9,4.5,160408,568000,First Owner,Diesel,Manual,30-06-2021,Rs.5.68 Lakh,5.68
